Column1,Type,Phylum,Class,Order,Family,Genus,Species,Human,Zoonotic,Domestic,Wildlife,HostGroup,HostOrder,HostFamily,HostSpecies,HostName,Association,Method,Reference,PMID,Additional,Synonym,Disease,Taylor,Emerging,Emerging.Source,VectorBorne,GramStain,Motility,Spore,Oxygen,Cell,Infection,Abbreviation,Strain,Genome,Gsize,ProteinCount,PercentGC,HostSpeciesPHB,HostSpecies.new,N.genomes,Genome.size,Genome.GC,Genome.genes
1454,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Galliformes,Phasianidae,Phasianus colchicus,Common pheasant,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Phasianuscolchicus,Phasianus colchicus,19,1.183705263,39.02642632,1050.388889
1455,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Galliformes,Phasianidae,Tetrao urogallus,Western capercaillie,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Tetraourogallus,Tetrao urogallus,19,1.183705263,39.02642632,1050.388889
1456,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Gruiformes,Gruidae,Grus canadensis,Sandhill crane,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Antigonecanadensis,Antigone canadensis,19,1.183705263,39.02642632,1050.388889
1457,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Gruiformes,Gruidae,Grus grus,Common crane,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Grusgrus,Grus grus,19,1.183705263,39.02642632,1050.388889
1458,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Gruiformes,Rallidae,Fulica americana,American coot,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Fulicaamericana,Fulica americana,19,1.183705263,39.02642632,1050.388889
1459,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Gruiformes,Rallidae,Fulica atra,Eurasian coot,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Fulicaatra,Fulica atra,19,1.183705263,39.02642632,1050.388889
1460,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Musophagiformes,Musophagidae,Tauraco erythrolophus,Red-crested turaco,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Tauracoerythrolophus,Tauraco erythrolophus,19,1.183705263,39.02642632,1050.388889
1461,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Otidiformes,Otididae,Chlamydotis undulata,Houbara bustard,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Chlamydotisundulata,Chlamydotis undulata,19,1.183705263,39.02642632,1050.388889
1462,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Otidiformes,Otididae,Tetrax tetrax,Little bustard,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Tetraxtetrax,Tetrax tetrax,19,1.183705263,39.02642632,1050.388889
1463,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Acanthizidae,Sericornis frontalis,White-browed scrubwren,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Sericornisfrontalis,Sericornis frontalis,19,1.183705263,39.02642632,1050.388889
1464,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Aegithalidae,Psaltriparus minimus,Bush tit,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Psaltriparusminimus,Psaltriparus minimus,19,1.183705263,39.02642632,1050.388889
1465,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Alaudidae,Galerida cristata,Crested lark,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Galeridacristata,Galerida cristata,19,1.183705263,39.02642632,1050.388889
1466,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Bombycillidae,Bombycilla garrulus,Bohemian waxwing,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Bombycillagarrulus,Bombycilla garrulus,19,1.183705263,39.02642632,1050.388889
1467,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Corvidae,Aphelocoma coerulescens,Scrub-jay,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Aphelocomacoerulescens,Aphelocoma coerulescens,19,1.183705263,39.02642632,1050.388889
1468,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Emberizidae,Melozone fusca,Canyon towhee,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Kieneriafusca,Kieneria fusca,19,1.183705263,39.02642632,1050.388889
1469,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Estrildidae,Taeniopygia guttata,Zebra finch,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Taeniopygiaguttata,Taeniopygia guttata,19,1.183705263,39.02642632,1050.388889
1470,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Eurylaimidae,Calyptomena viridis,Green broadbill,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Calyptomenaviridis,Calyptomena viridis,19,1.183705263,39.02642632,1050.388889
1471,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Fringillidae,Euphonia violacea,Violaceous euphonia,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Euphoniaviolacea,Euphonia violacea,19,1.183705263,39.02642632,1050.388889
1472,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Fringillidae,Fringilla coelebs,Common chaffinch,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Fringillacoelebs,Fringilla coelebs,19,1.183705263,39.02642632,1050.388889
1473,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Fringillidae,Leucosticte tephrocotis,Gray-crowned rosy-finch,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Leucostictetephrocotis,Leucosticte tephrocotis,19,1.183705263,39.02642632,1050.388889
1474,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Furnariidae,Upucerthia dumetaria,Scale-throated earthcreeper,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Upucerthiadumetaria,Upucerthia dumetaria,19,1.183705263,39.02642632,1050.388889
1475,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Icteridae,Agelaius phoeniceus,Red-winged blackbird,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Agelaiusphoeniceus,Agelaius phoeniceus,19,1.183705263,39.02642632,1050.388889
1476,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Icteridae,Molothrus ater,Brown-headed cowbird,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Molothrusater,Molothrus ater,19,1.183705263,39.02642632,1050.388889
1477,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Laniidae,Lanius senator,Woodchat shrike,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Laniussenator,Lanius senator,19,1.183705263,39.02642632,1050.388889
1478,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Leiothrichidae,Leiothrix lutea,Red-billed leiothrix,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Leiothrixlutea,Leiothrix lutea,19,1.183705263,39.02642632,1050.388889
1479,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Maluridae,Malurus cyaneus,Superb fairywren,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Maluruscyaneus,Malurus cyaneus,19,1.183705263,39.02642632,1050.388889
1480,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Meliphagidae,Manorina melanophrys,Bell miner,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Manorinamelanophrys,Manorina melanophrys,19,1.183705263,39.02642632,1050.388889
1481,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Monarchidae,Terpsiphone viridis,African paradise-flycatcher,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Terpsiphoneviridis,Terpsiphone viridis,19,1.183705263,39.02642632,1050.388889
1482,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Motacillidae,Anthus trivialis,Tree pipit,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Anthustrivialis,Anthus trivialis,19,1.183705263,39.02642632,1050.388889
1483,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Oriolidae,Oriolus oriolus,Eurasian golden oriole,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Oriolusoriolus,Oriolus oriolus,19,1.183705263,39.02642632,1050.388889
1484,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Paradisaeidae,Paradisaea apoda,Greater bird-of-paradise,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Paradisaeaapoda,Paradisaea apoda,19,1.183705263,39.02642632,1050.388889
1485,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Paridae,Poecile palustris,Marsh tit,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Poecilepalustris,Poecile palustris,19,1.183705263,39.02642632,1050.388889
1486,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Passeridae,Passer domesticus,House sparrow,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Passerdomesticus,Passer domesticus,19,1.183705263,39.02642632,1050.388889
1487,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Picathartidae,Picathartes gymnocephalus,White-necked picathartes,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Picathartesgymnocephalus,Picathartes gymnocephalus,19,1.183705263,39.02642632,1050.388889
1488,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Pipridae,Chiroxiphia caudata,Blue manakin,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Chiroxiphiacaudata,Chiroxiphia caudata,19,1.183705263,39.02642632,1050.388889
1489,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Ploceidae,Euplectes franciscanus,Orange bishop,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Euplectesfranciscanus,Euplectes franciscanus,19,1.183705263,39.02642632,1050.388889
1490,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Sturnidae,Gracula religiosa,Hill myna,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Graculareligiosa,Gracula religiosa,19,1.183705263,39.02642632,1050.388889
1491,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Thraupidae,Tangara arthus,Golden tanager,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Tangaraarthus,Tangara arthus,19,1.183705263,39.02642632,1050.388889
1492,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Passeriformes,Turdidae,Turdus migratorius,American robin,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Turdusmigratorius,Turdus migratorius,19,1.183705263,39.02642632,1050.388889
1493,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Pelecaniformes,Ardeidae,Bubulcus ibis,Cattle egret,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Bubulcusibis,Bubulcus ibis,19,1.183705263,39.02642632,1050.388889
1494,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Pelecaniformes,Pelecanidae,Pelecanus occidentalis,Brown pelican,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Pelecanusoccidentalis,Pelecanus occidentalis,19,1.183705263,39.02642632,1050.388889
1495,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Pelecaniformes,Threskiornithidae,Plegadis falcinellus,Glossy ibis,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Plegadisfalcinellus,Plegadis falcinellus,19,1.183705263,39.02642632,1050.388889
1496,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Piciformes,Picidae,Dendrocopos major,Great spotted woodpecker,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Dendrocoposmajor,Dendrocopos major,19,1.183705263,39.02642632,1050.388889
1497,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Piciformes,Ramphastidae,Ramphastos toco,Toco toucan,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Ramphastostoco,Ramphastos toco,19,1.183705263,39.02642632,1050.388889
1498,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Podicipediformes,Podicipedidae,Podiceps auritus,Horned grebe,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Podicepsauritus,Podiceps auritus,19,1.183705263,39.02642632,1050.388889
1499,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia psittaci,Yes,Yes,No,Yes,Aves,Podicipediformes,Podicipedidae,Podiceps cristatus,Great crested grebe,Pathogenic,Antibodies,,14522700,,"Chlamydophila psittaci; Rickettsiaformis psittacosis; Rickettsia psittaci, etc.",Avian chlamydiosis,Yes,Yes,PMID: 23098816,No,Gram-negative,Non-motile,No,Aerobic,Obligate intracellular,NA,NA,NA,NA,NA,NA,NA,Podicepscristatus,Podiceps cristatus,19,1.183705263,39.02642632,1050.388889
